PRIMARY_KEY,REP_DATE,REP_TIME,SEX,APD_RACE_DESC,LOCATION,PERSON_SEARCHED_DESC,REASON_FOR_STOP_DESC,SEARCH_BASED_ON_DESC,SEARCH_DISC_DESC,RACE_KNOWN,X_COORDINATE,Y_COORDINATE,SECTOR,LOCAL_FIELD1
201540004,01/04/2015,28,M,BLACK,SPRINGDALE RD / E MARTIN LUTHER KING JR BLVD,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3133150,10077671,CHARLIE,1
201540073,01/04/2015,59,F,HISPANIC OR LATINO,10300 BLOCK BURNET RD,NO = 2,,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3119586,10114646,ADAM PD,7
201540074,01/04/2015,233,M,ASIAN,1400 BLOCK N MOPAC EXPY NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3107544,10077108,BAKER,10
201540075,01/04/2015,52,M,WHITE,1100 W 6TH ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3110419,10072168,GEORGE,9
201540115,01/04/2015,138,M,HISPANIC OR LATINO,W PARMER LN / METRIC BLVD,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3129539,10123921,EDWARD,7
201540186,01/06/2015,1048,M,HISPANIC OR LATINO,E ANDERSON LN SVRD WB / NORTHCREST BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3125568,10098650,EDWARD,4
201540186,01/06/2015,1048,M,HISPANIC OR LATINO,E ANDERSON LN SVRD WB / NORTHCREST BLVD,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3125568,10098650,EDWARD,4
201540197,01/04/2015,240,M,HISPANIC OR LATINO,2700 N MOPAC EXPY NB,NO = 2,,,,,3109221,10081804,BAKER,10
201540262,01/04/2015,529,M,HISPANIC OR LATINO,2020 E RIVERSIDE DR,YES = 1,VIOLATION OF PENAL CODE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3119503,10061035,HENR,3
201540269,01/04/2015,513,F,WHITE,1100 BLOCK AIRPORT BLVD,NO = 2,,,,,3129519,10069208,CHARLIE,3
201540278,01/04/2015,402,F,BLACK,OAK SPRINGS DR / AIRPORT BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3128435,10073082,CHARLIE,3
201540462,01/04/2015,1014,M,BLACK,BURTON DR / WOODLAND AVE,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3119102,10059185,HENR,3
201540471,01/04/2015,930,M,WHITE,1723 E OLTORF ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3116017,10057903,HENR,3
201540494,01/04/2015,951,F,HISPANIC OR LATINO,102 W POWELL LN,YES = 1,PRE-EXISTING KNOWLEDGE,INCIDENTAL TO ARREST,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,3126082,10100114,EDWARD,4
201540561,01/04/2015,1118,M,BLACK,METRIC BLVD / GRACY FARMS LN,NO = 2,,,,,3125303,10118382,EDWARD,7
201540580,01/04/2015,1138,F,HISPANIC OR LATINO,BOLM RD / ED BLUESTEIN BLVD SVRD SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3134240,10065954,CHARLIE,3
201561712,01/06/2015,2153,M,HISPANIC OR LATINO,1100 W 6TH ST,NO = 2,,,,,3110419,10072168,BAKER,9
201540970,01/04/2015,1709,M,HISPANIC OR LATINO,AIRPORT BLVD / E 53RD ST,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3122673,10087662,IDA,9
201541156,01/04/2015,2333,M,BLACK,1800 BLOCK MAPLE AVE,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3122606,10075119,CHARLIE,1
201541156,01/04/2015,2333,F,WHITE,1800 BLOCK MAPLE AVE,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3122606,10075119,CHARLIE,1
201541231,01/04/2015,2043,M,WHITE,7600 BLOCK BURNET RD,NO = 2,,,,,3116459,10101744,BAKER,7
201541231,01/04/2015,2043,M,WHITE,7600 BLOCK BURNET RD,NO = 2,,,,,3116459,10101744,BAKER,7
201541293,01/04/2015,2128,M,MIDDLE EASTERN,100 S 1ST ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,CASH,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3112578,10068464,DAVID,9
201541303,01/04/2015,2134,M,BLACK,800 WILLOW ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3116521,10067905,GEORGE,3
201541327,01/04/2015,2147,M,BLACK,9800 BLOCK BURNET RD,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3119136,10112384,ADAM PD,7
