REP_DATE,REP_TIME,SEX,APD_RACE_DESC,LOCATION,PERSON_SEARCHED_DESC,REASON_FOR_STOP_DESC,SEARCH_DISC_DESC,RACE_KNOWN,X_COORDINATE,Y_COORDINATE
9/9/2015,218,F,WHITE,N LAMAR BLVD / THURMOND ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,125,309","10,102,037"
9/9/2015,653,M,HISPANIC OR LATINO,13900 BLOCK N FM 620 RD NB,YES = 1,CALL FOR SERVICE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,103,979","10,145,567"
9/9/2015,827,F,BLACK,12300 BLOCK N LAMAR BLVD,NO = 2,,,,"3,133,226","10,120,149"
9/9/2015,"1,254",M,BLACK,W PARMER TO MOPAC SVRD SB RAMP / N MOPAC EXPY SVRD SB,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,125,003","10,126,310"
9/9/2015,"1,429",M,WHITE,700 BLOCK AIRPORT BLVD,NO = 2,,,,"3,130,278","10,065,691"
9/9/2015,"1,753",F,WHITE,E 4TH ST / WALLER ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,117,971","10,068,856"
9/9/2015,"2,237",M,MIDDLE EASTERN,1900 W WILLIAM CANNON DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,"3,095,248","10,046,591"
9/9/2015,"1,852",M,HISPANIC OR LATINO,6729 MANCHACA RD,YES = 1,PRE-EXISTING KNOWLEDGE,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,094,718","10,047,163"
9/9/2015,"2,210",F,BLACK,200 COMAL ST,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,"3,118,982","10,067,876"
9/9/2015,"2,142",F,BLACK,1616 E OLTORF ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,115,672","10,058,303"
9/10/2015,215,F,HISPANIC OR LATINO,2000 E RIVERSIDE DR,YES = 1,CALL FOR SERVICE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,119,156","10,061,317"
9/9/2015,"2,241",F,WHITE,1000 BLOCK BARTON HILLS DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,105,326","10,068,206"
9/10/2015,12,M,HISPANIC OR LATINO,3200 S IH 35 SVRD NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,113,681","10,055,104"
9/9/2015,"2,347",F,WHITE,E 51ST ST / MUELLER BLVD,YES = 1,SUSPICIOUS PERSON / VEHICLE,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,"3,126,603","10,084,761"
9/9/2015,"2,347",M,WHITE,E 51ST ST / MUELLER BLVD,YES = 1,SUSPICIOUS PERSON / VEHICLE,DRUGS,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,"3,126,603","10,084,761"
9/10/2015,3,M,WHITE,LUNAR DR / W WILLIAM CANNON DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,102,150","10,043,722"
9/10/2015,12,M,WHITE,1200 S LAMAR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,108,280","10,065,821"
9/10/2015,38,M,WHITE,100 GUADALUPE ST,NO = 2,,,,"3,112,664","10,069,452"
9/9/2015,55,M,WHITE,800 W 6TH ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,CASH,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,111,739","10,071,612"
9/10/2015,207,M,WHITE,800 S MOPAC EXPY SVRD SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,102,259","10,070,137"
9/10/2015,214,M,WHITE,1200 BLOCK S 1ST ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,110,887","10,064,926"
9/10/2015,228,F,WHITE,E 8TH ST / RED RIVER ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,116,304","10,070,893"
9/10/2015,513,M,HISPANIC OR LATINO,N IH 35 SVRD SB / E 5TH ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,116,681","10,069,664"
9/10/2015,930,M,BLACK,9700 RESEARCH BLVD NB,NO = 2,,,,"3,112,674","10,114,734"
9/10/2015,"1,157",M,HISPANIC OR LATINO,TECHNI CENTER DR / ED BLUESTEIN BLVD TO TRACOR LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,137,878","10,074,214"
9/10/2015,"1,139",M,HISPANIC OR LATINO,BURLESON RD / S US 183 HWY NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,132,463","10,040,190"
9/10/2015,"1,417",F,WHITE,12100 BLOCK N MOPAC EXPY SVRD SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,122,712","10,122,662"
9/10/2015,"2,123",M,WHITE,5526 N IH 35 SB,YES = 1,,DRUGS,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,"3,124,787","10,087,806"
9/10/2015,"2,233",F,WHITE,1400 BLOCK W CESAR CHAVEZ ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,109,161","10,070,750"
9/10/2015,"2,246",M,WHITE,3800 BLOCK S CAPITAL OF TEXAS HWY NB,NO = 2,,,,"3,096,360","10,060,456"
9/10/2015,"2,248",F,WHITE,9600 N LAMAR BLVD,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,128,270","10,106,589"
9/10/2015,"2,306",M,WHITE,E 7TH ST / TRINITY ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,115,530","10,070,760"
